"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ae_layer","batch_size","branch1_layer","branch_layer","branch_weight","kl_weight","latent_dim","latent_space","learning_rate","loss_scalar","optimizer","var1","var2","var3","ae_loss","branch1_loss","branch_loss","epoch","kl","loss","recon_loss","v_ae_loss","v_branch1_loss","v_loss","vars"
"prime-sweep-55","finished","-","sophied","","2022-03-19T16:40:23.000Z","88","3pwcrso7","20","129","6","","","","3","","0.004910839273429116","1.7250400386125158","","","","","0.0014552661450579762","0.001673481077887118","","24","","0.003128747222945094","","0.003169992007315159","0.0018169238464906812","0.004986915737390518",""
"vague-sweep-54","finished","-","sophied","","2022-03-19T16:38:19.000Z","120","3pwcrso7","16","98","4","","","","6","","0.0008532733813041107","2.138496635869548","","","","","0.0003544306964613497","0.019900206476449966","","24","","0.02025463804602623","","0.0006285703857429326","0.020487504079937935","0.021116074174642563",""
"prime-sweep-53","finished","-","sophied","","2022-03-19T16:37:12.000Z","61","3pwcrso7","19","237","5","","","","6","","0.0033419683775797212","2.1704248631978107","","","","","0.00006887091149110347","0.00041498427162878215","","24","","0.0004838551976718009","","0.00019715177768375725","0.0004497646586969495","0.000646916450932622",""
"vocal-sweep-52","finished","-","sophied","","2022-03-19T16:36:15.000Z","51","3pwcrso7","17","284","6","","","","4","","0.0014893317584873146","2.6955725357053337","","","","","0.00003665679832920432","0.000643908220808953","","24","","0.0006805650191381574","","0.00011068725871155038","0.0006679643993265927","0.0007786516798660159",""
"woven-sweep-51","finished","-","sophied","","2022-03-19T16:35:27.000Z","43","3pwcrso7","18","321","6","","","","1","","0.002167782379918094","2.373964595100557","","","","","0.029084181413054463","0.08202429860830307","","24","","0.11110848188400269","","0.0543488934636116","0.08540834486484528","0.13975724577903748",""
"astral-sweep-50","finished","-","sophied","","2022-03-19T16:34:10.000Z","72","3pwcrso7","14","160","10","","","","3","","0.004272069089166157","1.279013104341296","","","","","0.0019761405419558287","0.001196429948322475","","24","","0.003172570373862982","","0.003957967273890972","0.001147138886153698","0.00510510616004467",""
"neat-sweep-49","finished","-","sophied","","2022-03-19T16:33:13.000Z","53","3pwcrso7","13","296","10","","","","7","","0.004381534206231137","2.823607910788182","","","","","0.0004854536091443151","0.0007725650211796165","","24","","0.001258018659427762","","0.0008788417908363044","0.0007118122885003686","0.001590654021129012",""
"glowing-sweep-48","finished","-","sophied","","2022-03-19T16:31:45.000Z","85","3pwcrso7","10","177","7","","","","9","","0.0032118485480537896","1.4400497531534653","","","","","0.0006433927337639034","0.015002653934061527","","24","","0.01564604602754116","","0.0010725114261731503","0.01525398250669241","0.01632649451494217",""
"stilted-sweep-47","finished","-","sophied","","2022-03-19T16:31:03.000Z","39","3pwcrso7","18","406","4","","","","2","","0.0025050124437864837","1.519440636212844","","","","","0.0005678216111846268","0.0010926082031801343","","24","","0.001660429872572422","","0.001165397814475","0.0012648829724639654","0.0024302806705236435",""
"jolly-sweep-46","finished","-","sophied","","2022-03-19T16:29:56.000Z","61","3pwcrso7","17","293","8","","","","9","","0.0048293859110798126","1.259324561201744","","","","","0.000055926895583979785","0.000279809144558385","","24","","0.00033573602559044957","","0.00015574895951431245","0.0003169669071212411","0.0004727158811874688",""
"fluent-sweep-45","finished","-","sophied","","2022-03-19T16:29:10.000Z","43","3pwcrso7","14","360","4","","","","4","","0.003798294854942145","1.1572950860469904","","","","","0.029084181413054463","0.08202429860830307","","24","","0.11110848188400269","","0.0543488934636116","0.08540834486484528","0.13975724577903748",""
"sunny-sweep-44","finished","-","sophied","","2022-03-19T16:28:16.000Z","51","3pwcrso7","15","255","7","","","","2","","0.003824691174646344","2.349681729702798","","","","","0.001973296282812953","0.0010053350124508142","","24","","0.0029786312952637672","","0.003611077554523945","0.0009063614415936172","0.004517438821494579",""
